Model,Memory,accuracy,precision,f1,recall
MK,1,0.10909090909090909,0.06209172040321534,0.07131213219342716,0.10909090909090909
RF,2,0.142045455,0.106642455,0.12014836300000001,0.142045455
RF,10,0.14772727300000002,0.117378161,0.121136366,0.14772727300000002
RF,50,0.13977272699999999,0.113937847,0.10156523099999999,0.13977272699999999
RF,100,0.132954545,0.104194096,0.09681184400000001,0.132954545
RF,150,0.142045455,0.130039205,0.103864796,0.142045455
LSTM,2,0.152272727,0.114449366,0.128375965,0.152272727
LSTM,10,0.15,0.11298834699999999,0.120004809,0.15
LSTM,50,0.0,0.0,0.0,0.0
LSTM,100,0.0,0.0,0.0,0.0
LSTM,150,0.0,0.0,0.0,0.0
TCN,2,0.0,0.0,0.0,0.0
TCN,10,0.0,0.0,0.0,0.0
TCN,50,0.0,0.0,0.0,0.0
TCN,100,0.0,0.0,0.0,0.0
TCN,150,0.0,0.0,0.0,0.0
