date,AEP,FL,MRO,DTE,IP,CNP,NAV,DOW,PEP,CL,UIS,GD,ASA,FDX,PCG,R,CNW,OXY,GLW,SO,ETR,HAL,NOC,AVP,HRS,CSC,IFF,SKY,MDT,EMR,DE,NBL,MAT,JCP,AVT,THC,GRA,LPX,TXI,CI,NVO,NSC,ALK,BDX,ADM,HES,BCR,PPG,GPC,SNE,HST,AFG,RDC,TY,NL,PKD,TSO,GIS,DNB,CP,COO,AFL,ADI,NWL,PNW,AXE,ADX,AIR,ARW,EGN,PNM,NU,BCE,GAS,BK,CB,AEM,BGG,BKH,BEN,BRE,BOH,BMS,D,LNC,NI,TXT,CR,CVS,KMB,GWW,RAD,HAS,CCK,CMS,ABX,HL,JCI,MWV,GAM,CPB,SHW,PH,IR,OKE,FMC,SWK,RRD,SNA,SPW,GCI,TKR,NC,ICB,LUB,PHM,MTS,JHI,MCI,CNA,NEU,UNS,XEL,PCH,BRC,GSK,GGG,TRV,STT,PGR,TSN,NYT,CQB,APC,AEG,CKP,BPL,ARG,ATW,MMT,BHI,GY,MGF,CCC,TEF,NUV,MBI,L,PVH,SCI,DLX,HMC,NKE,UIL,TMO,NFG,AIN,NCA,FLO,ITW,FDO,KEY,EQT,MDU,HOG,EFX,CTL,HE,HP,KSU,CNL,HRC,IRF,FUN,GAB,CBB,FOE,CTB,KF,MFM,DHR,CLF,GMT,KMT,EDE,FSS,ESL,UHT,HXL,DRE,CSL,AVA,HOT,SEE,PHG,ALE,PSA,STI,STR,WTR,TMK,TIF,OGE,TDW,SWX,OLN,TTC,TRN,RYL,PEO,MXF,NX,PBY,SPF,SJI,PNY,TJX,ECL,LNT,UVV,SWZ,HQH,SWN,CSH,JHS,SBR,NPK,UNT,TRP,SYK,OCR,LUK,SXI,RJF,MIN,GIM,AB,PIM,BID,URS,BKT,PNC,MAN,CHE,HAR,EMC,NPI,KMM,ACO,CY,PHI,BPT,PCL,AGN,NPP,KTF,MEN,DDS,MHF,TWN,TCB,CDI,IEX,EAT,HLS,TSS,HNR,PDT,HRL,MCR,LSI,NMA,EMF,HTR,PCP,JEC,MGM,SNV,SUP,NNP,TG,GF,LUX,CEE,UDR,JOF,UNH,NNN,NMO,NE,CHD,FLS,SON,CYN,RPM,ODP,MEI,UFI,BBT,OMC,CMA,ORI,FHN,CFR,PNR,TEX,POT,HNI,COG,MTZ,FST,IVC,CLC,UHS,MTW,TTI,CDE,LH,SWY,CIA,PNK,RTI,VLY,CRK,NQM,CUZ,MCS,DY,NQI,ESV,NQS,AZO,X,HAE,JNY,ANN,NVC,NQU,SFY,MTG,RGS,DV,PLL,KEX,TDS,NIO,NHI,MSF,HNT,NUC,HMN,NR,OI,MYD,BNA,NPF,SGL,SMG,M,NTE,ELY,ORB,PPR,MYN,JOE,TNH,HCN,ROG,PII,HGR,GLT,ENZ,WEN,AN,MYE,NXP,FBP,MHK,MW,RHI,RBC,MYI,HVT,HQL,NCS,BSX,KSS,ALU,NXQ,STE,PX,CHN,GCH,MMU,OHI,LTC,DCO,MTX,RDN,HCC,BKN,ELS,FNB,CHK,ETH,TM,RCL,ATR,JBL,AZN,TWI,SKT,PPS,CPT,AWF,EQR,MAR,BYD,ENI,OMG,LXP,PRE,REG,AEC,HHS,AF,NFX,BDC,SPG,EMN,TV,RMT,IFN,ALB,MAC,AKS,CBR,AEO,VRX,HIW,FR,APF,GEO,EOC,BTO,CLI,RS,HNP,PKX,O,KEP,BMO,MCK,COF,GHI,STM,TEO,SWC,TDF,IIF,TRK,AOI,ABC,APU,AGU,DRI,PT,SSS,SYX,DO,THG,DST,TLK,LXK,EL,SAM,SWM,ITT,MSM,HIG,BCO
500,0,0,0,0,1,0,2,0,2,3,4,2,4,0,0,5,2,2,2,0,0,0,0,6,2,0,4,7,2,4,0,0,2,0,0,2,4,2,4,4,0,2,0,2,2,0,2,0,2,4,0,0,0,2,0,0,0,2,2,2,2,8,2,2,0,0,2,4,4,2,0,9,0,2,0,0,0,2,4,0,4,4,2,0,4,4,0,0,4,4,0,2,0,0,0,4,4,4,2,6,0,2,2,2,4,2,0,4,4,10,2,0,2,4,2,0,0,4,2,0,0,4,0,2,2,4,2,0,0,0,2,2,2,0,2,2,0,11,0,2,0,4,4,0,0,4,2,4,2,2,2,2,12,0,2,2,2,4,4,4,2,0,4,0,13,14,0,0,0,0,4,2,15,2,2,0,2,2,2,0,2,16,2,2,2,2,0,4,0,2,2,4,2,2,4,0,2,0,2,2,0,4,0,0,0,0,4,0,4,2,2,14,14,2,4,4,17,0,0,4,4,2,2,0,2,0,2,0,2,2,18,2,2,2,2,0,2,2,4,2,4,0,19,2,2,4,0,2,2,0,4,0,2,0,2,2,2,0,2,0,4,2,2,0,2,0,4,2,20,0,2,2,4,4,4,2,2,0,0,2,2,2,2,2,2,2,2,2,21,0,2,2,22,2,0,2,4,0,2,14,4,4,4,4,4,2,2,2,0,4,2,2,2,2,2,23,0,4,2,4,0,24,4,2,2,4,0,0,4,0,0,2,0,4,25,0,4,2,0,0,2,3,26,27,0,2,4,2,4,4,4,0,0,28,4,2,10,0,2,4,4,17,29,2,4,4,0,2,0,2,0,4,30,2,31,0,0,0,2,32,0,0,2,2,4,2,2,2,4,2,2,4,33,0,4,2,2,4,2,0,4,2,0,0,0,2,2,2,2,2,0,2,0,2,2,2,0,0,4,0,2,2,34,2,4,2,0,0,4,2,2,2,0,2,2,0,2,35,0,36,2,2,0,2,25,2,0,37,2,2,2,18,4,4,2,38,2,0,2,0,20,2,2,2,0,2,0,2,4,0,2,2,4,2,2,39,0,0,2,0,40
501,0,0,0,0,1,0,2,0,2,3,3,2,3,0,0,4,2,2,2,0,0,0,0,5,2,0,3,6,2,3,0,0,2,0,0,2,3,2,3,3,0,2,0,2,2,0,2,2,2,3,0,0,0,2,0,0,0,2,2,2,2,7,2,2,0,0,2,3,3,2,0,8,0,2,0,0,0,2,3,0,3,3,2,0,3,3,0,0,3,3,9,2,0,0,0,3,3,3,2,0,0,2,2,2,3,2,0,3,3,10,2,0,2,3,2,0,0,3,2,0,0,3,0,2,2,3,2,3,0,0,2,2,2,0,2,2,0,11,0,2,0,3,3,0,0,3,2,3,2,2,2,2,12,0,2,2,2,3,3,3,2,0,3,0,13,9,9,0,0,0,0,2,14,2,2,0,2,2,2,0,2,15,2,2,2,2,0,3,0,2,2,3,2,2,3,0,2,0,2,2,0,3,0,0,0,0,3,0,3,2,2,0,9,2,3,3,16,0,0,3,3,2,2,0,2,0,2,0,2,2,0,2,2,2,2,0,2,2,3,2,3,0,17,2,2,3,0,2,2,0,3,0,2,0,2,2,2,0,2,0,3,2,2,0,2,0,3,2,18,0,2,2,3,3,3,2,2,0,0,2,2,2,2,2,2,2,2,2,19,0,2,2,20,2,0,2,3,0,2,9,3,3,3,3,3,2,2,2,0,3,2,2,2,2,2,21,0,3,2,3,0,22,3,2,2,3,0,0,3,0,0,2,0,3,3,0,3,2,0,0,2,23,24,6,0,2,0,2,3,3,3,0,0,5,3,2,25,0,2,3,3,23,26,2,3,3,0,2,0,2,0,3,27,2,28,0,0,0,2,29,0,0,2,2,3,2,2,2,3,2,2,3,30,0,3,3,2,3,2,0,3,2,0,0,0,2,2,2,3,2,0,2,0,2,2,2,0,0,3,0,2,2,31,2,3,2,0,0,3,2,2,2,0,2,2,0,2,32,0,17,2,2,0,2,33,2,0,34,2,2,2,0,3,3,2,35,2,0,2,0,36,2,2,3,0,2,0,2,3,0,2,2,3,2,2,21,0,0,2,0,4
502,0,1,0,0,2,0,3,0,3,4,4,3,0,5,0,6,4,3,3,0,0,0,7,8,3,0,4,9,3,4,0,0,3,0,0,4,4,3,0,4,0,3,0,3,3,0,10,3,3,4,0,0,0,3,0,0,0,3,3,3,3,11,4,3,0,0,3,0,0,3,0,12,0,4,0,0,0,3,4,13,4,4,3,0,4,4,0,3,4,4,3,3,0,0,0,0,0,4,3,0,0,4,4,3,0,3,0,4,4,14,3,0,3,4,4,0,0,4,4,0,0,0,0,4,4,0,3,0,0,0,3,3,4,0,3,3,0,15,0,3,0,4,4,0,0,4,4,0,16,3,3,4,17,0,3,4,3,4,4,0,4,0,4,0,0,3,18,0,0,0,0,3,19,3,3,3,3,4,4,0,3,20,3,3,3,3,0,0,0,3,3,4,3,3,4,0,4,0,4,3,0,4,0,0,0,0,4,0,4,3,3,3,3,3,4,4,21,0,0,4,0,4,3,0,3,0,3,3,4,3,22,4,3,4,3,0,10,3,4,3,0,3,23,3,3,4,0,3,3,0,4,0,3,0,4,4,3,0,4,0,4,3,3,0,4,0,4,4,24,0,3,3,4,0,4,3,3,0,0,3,4,3,3,3,4,3,4,4,25,0,4,3,23,3,0,4,4,3,4,3,4,4,4,4,4,3,3,3,0,4,3,3,4,4,3,26,0,0,4,4,0,27,4,3,4,4,0,0,4,0,0,4,0,4,4,0,4,4,0,0,3,28,29,30,0,4,0,3,4,4,4,0,31,32,4,3,33,0,3,4,4,4,0,3,34,4,0,3,0,3,3,4,24,3,35,0,5,3,3,0,0,0,3,3,4,4,4,3,4,3,3,4,36,0,34,4,3,4,3,0,0,4,3,0,0,3,3,4,4,4,3,4,0,4,4,3,0,0,4,0,3,3,37,3,4,4,0,0,0,3,3,3,0,4,3,0,3,38,0,39,4,3,0,4,40,3,3,41,3,3,3,13,4,4,4,42,3,0,4,0,43,3,3,4,0,4,0,3,0,0,4,3,0,3,3,44,0,0,3,0,45
503,0,1,0,0,2,0,3,0,3,4,4,3,4,0,0,5,4,3,3,0,0,0,6,7,3,0,4,8,3,4,0,0,3,0,0,3,4,3,4,4,0,3,0,3,3,0,3,3,3,4,0,0,0,3,0,0,0,3,3,3,3,9,4,3,0,0,3,0,0,3,0,10,0,4,0,0,0,3,4,0,4,4,3,0,4,4,0,3,4,4,11,3,0,0,0,4,0,4,3,0,0,3,3,3,4,3,0,4,4,12,3,0,3,4,4,0,0,4,4,0,0,4,0,3,3,0,3,0,0,0,3,3,4,0,3,3,0,13,0,3,0,3,4,0,0,4,4,4,14,3,3,3,15,0,3,4,3,4,4,4,3,0,4,0,16,11,9,0,0,0,0,3,17,3,3,3,3,3,4,0,3,18,3,3,3,3,0,4,0,3,3,4,3,3,4,0,4,0,3,3,0,4,0,0,0,0,4,0,4,3,3,11,11,3,4,4,19,0,0,4,4,3,3,0,3,0,3,0,3,3,20,3,3,3,3,0,3,3,4,3,0,0,3,3,3,4,0,3,3,0,4,0,3,0,4,3,3,0,4,0,4,3,3,0,4,0,4,3,21,0,3,3,4,4,4,3,3,0,0,3,3,3,3,3,4,3,3,3,22,0,3,3,0,3,0,3,4,11,3,11,4,4,4,4,4,3,3,3,0,4,3,3,3,3,3,23,0,0,4,4,0,24,4,3,3,4,0,0,4,0,0,3,0,4,4,0,4,3,0,0,3,25,26,27,0,3,0,3,4,28,4,0,29,30,4,3,31,0,3,4,4,32,33,3,4,4,0,3,0,3,0,4,21,3,34,0,35,0,3,0,0,0,3,3,4,3,3,3,4,3,3,4,36,0,4,4,3,4,3,0,0,3,3,0,0,3,3,3,4,4,0,4,0,3,3,3,0,0,4,0,3,3,37,3,4,3,0,0,0,3,3,3,0,3,3,0,3,38,0,7,3,3,0,3,39,3,3,40,3,3,3,30,4,4,3,41,3,0,3,0,42,3,3,4,0,3,0,3,4,0,3,3,4,3,3,43,0,0,3,0,26
504,0,1,0,0,2,0,3,0,3,4,4,3,4,0,0,5,4,3,3,0,0,0,6,5,3,4,4,7,3,4,0,0,3,0,0,3,4,3,4,4,0,3,0,3,3,0,3,3,3,4,0,0,0,3,0,0,0,3,3,3,3,8,4,3,0,0,3,0,0,3,0,9,0,4,0,0,0,3,4,0,4,4,3,0,4,4,0,3,4,4,10,3,0,0,0,4,0,4,3,0,0,3,3,3,4,3,0,4,4,11,3,0,3,4,4,0,0,4,4,0,0,4,0,3,3,4,3,0,0,0,3,3,4,0,3,3,0,12,0,3,0,3,4,0,0,4,4,4,13,3,3,3,14,0,3,4,3,4,4,4,3,0,4,0,15,3,16,0,0,0,4,3,17,3,3,0,3,3,4,0,3,18,3,3,3,3,0,4,0,3,3,4,3,3,4,0,4,0,4,3,0,4,0,0,0,0,4,0,4,3,3,0,10,3,4,4,19,0,0,4,4,3,3,0,3,0,3,0,3,3,20,3,3,3,3,0,13,3,4,3,0,0,3,3,3,4,0,3,3,0,4,0,3,0,4,3,3,0,4,0,4,3,3,0,4,0,4,3,21,0,3,3,4,4,4,3,3,0,0,3,3,3,3,3,4,3,4,3,22,0,3,3,0,3,0,3,4,0,3,10,4,4,4,4,4,3,3,3,0,4,3,3,3,3,3,23,0,0,4,4,0,24,4,3,3,4,0,0,4,0,0,3,0,4,4,0,4,3,0,0,3,25,26,27,0,3,0,3,4,28,4,0,29,30,4,3,22,0,3,4,4,31,32,3,4,4,0,3,0,3,0,4,15,3,33,0,34,0,3,0,0,0,3,3,4,3,3,3,4,3,3,4,31,0,4,4,3,4,3,0,0,3,3,0,0,3,3,3,4,4,0,4,0,3,3,3,0,0,4,0,3,3,35,3,4,3,0,0,0,3,3,3,0,3,3,0,3,36,0,0,3,3,0,3,23,3,3,37,3,3,3,30,4,4,3,38,3,0,3,0,39,3,3,4,0,3,0,3,4,0,3,3,4,3,3,40,0,0,3,0,18
505,0,1,0,0,2,0,3,0,3,2,2,3,2,4,0,5,3,3,3,0,0,0,6,0,3,2,2,7,3,2,0,0,3,0,0,3,2,3,2,2,0,3,0,0,3,0,3,3,3,2,0,0,0,3,0,0,0,3,3,3,3,8,3,3,0,0,3,0,2,3,0,9,0,2,0,2,0,3,2,10,2,2,3,0,2,2,11,3,2,2,12,3,0,0,0,2,0,2,3,0,0,2,3,3,2,3,12,2,2,13,3,0,3,3,2,0,0,2,2,0,0,2,0,3,3,2,3,2,0,0,3,3,2,0,3,3,14,15,0,12,0,3,2,16,0,2,3,2,17,3,3,3,18,0,3,2,3,2,2,2,3,0,2,0,2,3,0,0,0,0,2,3,19,3,3,3,3,3,3,2,3,20,3,3,3,3,0,2,0,3,0,2,3,3,2,0,3,0,2,3,12,2,0,0,0,0,2,0,2,3,3,0,12,3,2,2,0,0,0,2,2,3,3,0,3,0,3,0,3,3,0,3,3,3,3,0,21,3,2,3,2,0,3,3,3,2,0,0,3,2,2,0,3,0,3,3,3,0,2,0,3,3,3,22,2,0,2,3,23,2,3,3,2,2,2,3,3,0,0,3,3,3,3,3,2,3,3,3,24,0,3,0,25,3,0,3,2,0,3,0,2,2,2,2,2,3,3,3,0,2,3,3,3,3,3,0,0,2,3,2,26,27,2,3,3,2,0,0,2,0,0,3,28,2,2,0,2,3,0,0,3,29,30,31,0,3,0,3,2,32,2,0,33,0,34,3,10,0,3,2,34,35,36,3,2,2,0,3,0,3,0,2,2,0,37,0,38,0,3,0,0,0,3,3,2,3,3,3,2,3,3,2,39,0,2,2,3,2,3,11,2,3,3,0,0,3,3,3,21,2,0,2,0,3,3,3,0,0,2,0,3,3,40,3,2,3,0,0,41,3,3,3,0,2,3,0,3,42,0,43,3,3,0,3,44,3,3,0,3,3,3,0,2,2,3,45,3,0,3,2,46,3,3,2,0,3,0,3,2,0,3,3,2,3,3,47,0,0,3,0,48
506,0,1,0,0,0,0,2,0,2,3,3,2,3,4,0,5,2,2,2,0,0,0,6,0,2,3,3,7,2,3,0,0,2,0,0,2,3,2,3,3,0,2,0,0,2,0,2,2,2,3,0,0,0,2,0,0,0,2,2,2,2,8,2,2,3,0,2,0,3,2,0,9,0,3,0,3,0,2,3,10,3,3,2,0,3,3,11,2,3,12,13,2,0,0,0,3,0,3,2,0,0,3,2,2,3,2,13,3,3,14,2,0,2,2,2,0,0,3,3,0,0,3,0,2,2,3,2,3,0,0,2,0,3,0,2,2,15,16,0,13,0,2,3,17,0,3,3,18,19,2,2,2,20,0,2,3,2,3,3,3,2,0,3,0,3,2,0,0,0,0,3,2,21,2,2,2,2,2,2,3,2,22,2,2,2,2,0,3,0,2,0,3,2,2,3,0,3,0,3,2,13,3,0,0,0,3,3,0,3,2,2,0,13,2,3,3,0,0,0,2,3,2,2,0,2,0,2,0,2,2,0,2,2,2,2,0,19,2,3,2,3,0,2,2,2,3,0,0,2,3,3,0,2,0,2,2,2,0,3,0,3,2,2,23,3,0,3,2,24,3,2,2,3,3,3,2,2,0,0,2,2,2,2,2,3,2,2,2,25,0,2,0,26,2,0,2,3,0,2,0,3,3,3,3,3,2,2,2,0,3,2,2,2,2,2,0,0,3,2,3,27,28,3,2,2,3,0,0,3,0,0,2,29,3,3,0,30,2,0,0,2,31,0,32,0,2,0,2,3,33,3,0,34,0,35,2,25,0,2,3,36,37,38,2,3,3,0,2,0,2,2,3,3,0,39,0,40,0,2,0,0,0,2,2,3,2,2,2,3,2,2,3,41,0,3,3,2,3,2,39,3,3,2,0,0,2,2,2,12,3,0,3,0,2,2,2,42,0,3,0,2,2,18,2,3,2,0,0,43,2,2,2,0,3,2,0,2,44,0,42,2,2,0,2,45,2,2,0,2,2,2,10,3,3,2,46,2,0,2,3,47,2,2,3,0,2,0,2,3,0,3,2,3,2,2,48,0,0,2,0,49
507,0,1,0,0,2,0,3,0,3,2,2,3,2,4,0,5,3,0,3,0,0,0,6,0,3,2,2,7,3,2,0,0,3,0,0,3,2,3,2,2,0,3,0,0,3,2,8,0,3,3,0,0,0,3,0,0,0,3,3,3,3,9,3,3,2,0,3,2,2,3,0,10,0,2,0,2,0,3,2,0,2,3,3,0,2,2,11,0,2,12,0,3,2,0,0,2,2,2,3,0,0,3,3,3,2,3,13,2,2,14,3,0,3,3,3,0,0,2,2,2,0,2,0,3,3,2,3,2,0,0,3,0,2,0,3,3,15,16,0,0,0,3,2,17,0,2,3,2,3,3,3,3,18,0,0,3,3,2,2,2,3,0,2,0,2,0,0,2,0,0,2,3,19,3,3,3,3,3,3,2,3,20,3,3,3,3,0,2,0,3,0,2,3,3,2,0,3,0,2,3,13,2,0,0,2,2,2,0,2,0,3,0,0,0,2,2,0,2,2,3,2,3,3,0,3,0,3,0,3,3,0,3,3,3,0,0,21,3,2,3,2,0,3,3,0,2,0,0,3,2,2,0,0,0,3,3,3,0,2,0,3,3,3,22,3,0,2,3,23,2,3,3,3,2,2,3,3,0,0,3,3,3,3,0,2,3,3,3,0,0,3,0,24,3,0,3,2,0,3,0,2,2,2,2,2,3,3,3,0,2,3,3,3,3,0,0,0,2,3,2,25,26,2,0,3,2,0,2,2,0,0,3,27,2,2,2,28,3,0,0,3,29,30,31,0,3,2,0,3,32,2,0,33,0,2,3,34,0,3,2,2,35,36,3,2,2,0,3,0,0,0,2,2,0,37,2,38,0,3,0,0,0,3,3,2,3,3,3,2,3,3,2,39,0,2,2,3,2,3,37,2,3,3,0,0,3,3,3,12,2,0,2,0,3,3,3,40,0,2,0,3,3,41,13,2,3,0,0,42,3,0,3,0,2,3,0,3,43,0,44,3,3,0,3,45,3,3,0,3,3,3,46,2,2,3,47,3,0,3,2,48,3,3,3,0,3,0,3,2,0,3,3,2,0,3,49,0,2,3,0,50
508,0,1,0,0,0,0,2,0,2,3,2,2,0,4,0,5,2,6,6,0,0,0,7,0,2,0,2,8,2,0,9,0,6,0,6,2,3,2,3,2,0,2,0,6,2,0,10,6,2,2,0,11,0,6,0,0,6,2,2,6,2,12,2,6,0,6,6,0,0,2,6,13,0,2,0,0,0,2,0,9,2,2,6,0,2,2,14,6,0,15,6,6,0,0,0,0,0,2,2,0,0,2,2,2,0,2,6,0,3,16,2,0,2,2,2,0,0,2,2,0,0,0,0,2,2,0,2,0,0,0,2,6,2,0,6,2,17,18,0,6,0,2,3,0,0,0,2,19,20,2,2,2,21,0,6,2,2,2,2,0,2,0,2,0,0,6,6,0,0,0,0,2,8,2,6,2,2,2,2,0,2,22,6,2,2,2,0,0,0,2,6,2,2,2,3,0,2,0,2,6,6,0,0,0,0,0,2,6,3,6,2,6,6,6,0,2,0,0,0,2,0,2,6,0,2,0,2,6,2,2,0,2,2,2,6,0,23,2,2,2,0,6,2,2,6,0,0,6,6,0,0,0,6,6,2,2,6,0,2,0,2,2,2,24,2,0,0,2,25,0,2,2,2,0,0,6,2,0,0,2,2,6,2,6,2,2,2,2,26,0,2,6,27,2,0,2,2,6,2,6,0,0,0,2,2,2,2,2,0,3,6,6,2,2,6,28,0,0,2,2,29,30,3,6,2,3,6,0,2,0,0,2,31,2,3,0,32,2,0,0,2,33,29,34,0,2,0,6,2,35,0,0,36,6,19,2,37,28,2,0,38,39,40,2,41,0,0,6,0,6,6,2,0,6,41,0,42,6,6,0,0,0,2,2,0,2,2,2,0,2,2,2,38,0,0,2,2,2,2,0,0,2,6,0,0,2,2,2,2,2,6,2,0,2,2,2,26,0,3,0,2,6,43,6,0,2,0,0,44,6,6,6,6,2,2,6,6,45,0,46,2,2,6,2,47,2,6,11,2,2,2,48,2,2,2,49,6,0,2,0,50,2,2,2,0,2,0,2,0,0,2,2,0,6,2,14,0,0,6,0,51
509,0,1,0,0,0,0,2,0,2,3,3,2,3,4,0,5,2,2,2,0,0,0,6,0,2,3,3,7,2,3,0,0,2,0,0,2,3,2,3,3,0,2,0,0,2,0,8,2,2,3,0,0,0,2,0,0,0,2,2,2,2,9,2,2,0,0,2,0,3,2,0,10,0,3,0,3,0,2,3,0,3,3,2,0,3,3,11,2,3,12,0,2,0,0,0,3,0,3,2,0,0,3,2,2,3,2,2,3,3,13,2,0,2,2,2,0,0,3,3,0,0,3,0,2,2,3,2,3,0,0,2,0,3,0,2,2,14,15,0,0,0,2,3,0,0,3,2,3,16,2,2,2,17,0,2,3,2,3,3,3,2,0,3,0,0,0,18,0,0,0,3,2,19,2,2,2,2,2,2,20,2,21,2,2,2,2,0,3,0,3,0,3,2,2,3,0,2,0,3,2,22,3,0,0,0,3,3,0,3,2,2,0,22,2,3,3,0,0,0,3,3,2,2,0,2,0,2,0,2,2,0,2,2,2,2,0,23,2,3,2,3,0,2,2,2,3,0,0,2,3,3,0,0,0,3,2,2,0,3,0,3,2,2,24,3,0,3,2,25,3,2,2,3,3,3,2,2,0,0,2,2,2,2,2,3,2,2,2,0,0,2,0,26,2,0,2,3,0,2,0,3,3,3,3,3,2,2,2,0,3,2,2,2,2,2,0,0,3,2,3,27,28,3,2,2,3,0,0,3,0,0,2,29,3,3,0,30,2,0,0,2,31,32,33,0,2,0,0,3,34,3,0,35,13,3,2,36,0,2,3,3,37,38,2,3,3,0,2,0,2,0,3,39,0,3,0,40,0,2,0,0,0,2,2,3,2,2,2,3,2,2,3,41,0,3,3,2,3,2,42,3,3,2,0,0,2,2,2,3,3,0,3,0,2,2,2,43,0,3,0,2,2,44,2,3,2,0,0,45,2,2,2,0,3,2,0,2,0,0,18,2,2,0,2,46,2,2,27,2,2,2,24,3,3,2,47,2,0,2,3,48,3,2,3,0,2,0,2,3,0,2,2,3,2,2,32,0,0,2,0,49
